timestamp,name,email,password,age,gender,educationLevel,personalityType,phoneNumber,city,state,interests
2025-09-07T19:28:14Z,Nikhil Pandey,nikhilpan92@gmail.com,nik314pa,26,Male,intermediate-12th,Extrovert,9.19988E+11,Mumbai,Maharashtra,"Art, Design, Creative writing"
2025-09-22T20:01:23Z,Sonia Srivastava,soniasri11@gmail.com,son291sr,16,Female,diploma,Introvert,9.17766E+11,Delhi,Delhi,"Literature, Poetry, Blogging"
2025-09-27T09:27:59Z,Shreya Kumar,shreyakum60@gmail.com,shr746ku,24,Female,phd,Introvert,9.19988E+11,Bangalore,Karnataka,"Teaching, Public speaking"
2025-09-18T08:25:52Z,Rekha Bhatia,rekhabha69@gmail.com,rek554bh,27,Female,bachelors,Ambivert,9.17655E+11,Hyderabad,Telangana,"Literature, Poetry, Blogging"
2025-09-04T17:39:03Z,Pooja Singh,poojasin63@gmail.com,poo576si,33,Female,intermediate-11th,Introvert,9.16789E+11,Chennai,Tamil Nadu,"Sports, Fitness, Yoga"
2025-09-14T15:14:07Z,Shweta Dubey,shwetadub94@gmail.com,shw819du,28,Female,intermediate-11th,Ambivert,9.18877E+11,Kolkata,West Bengal,"Movies, Animation, Video editing"
2025-09-09T14:44:00Z,Deepak Reddy,deepakred97@gmail.com,dee228re,27,Male,phd,Ambivert,9.17654E+11,Pune,Maharashtra,"Technology, AI, Machine Learning"
2025-09-03T02:32:58Z,Neeraj Bhatia,neerajbha16@gmail.com,nee300bh,23,Male,diploma,Introvert,9.19876E+11,Ahmedabad,Gujarat,"Science, Research, Innovation"
2025-09-03T11:39:21Z,Ashish Sharma,ashishsha56@gmail.com,ash561sh,18,Male,high-school,Extrovert,9.1679E+11,Jaipur,Rajasthan,"Teaching, Public speaking"
2025-09-07T08:14:14Z,Mira Jindal,mirajin61@gmail.com,mir195ji,19,Female,masters,Extrovert,91912382727,Lucknow,Uttar Pradesh,"Movies, Animation, Video editing"
2025-09-15T10:28:35Z,Ajay Jain,ajayjai68@gmail.com,aja342ja,17,Male,intermediate-11th,Extrovert,9.1789E+11,Kochi,Kerala,"Music, Dancing, Singing"
2025-09-28T11:43:19Z,Annie Bhatia,anniebha98@gmail.com,ann330bh,16,Female,high-school,Extrovert,9.17891E+11,Indore,Madhya Pradesh,"Movies, Animation, Video editing"
2025-09-09T02:38:05Z,Kiran Reddy,kiranred71@gmail.com,kir776re,16,Female,intermediate-12th,Introvert,9.18456E+11,Bhopal,Madhya Pradesh,"Social work, Volunteering"
2025-09-20T16:48:57Z,Alina Shukla,alinashu11@gmail.com,ali486sh,32,Female,bachelors,Extrovert,9.18456E+11,Coimbatore,Tamil Nadu,"Literature, Poetry, Blogging"
2025-09-02T01:27:53Z,Tarun Jindal,tarunjin10@gmail.com,tar502ji,17,Male,bachelors,Introvert,9.17767E+11,Nagpur,Maharashtra,"Sports, Fitness, Yoga"
2025-09-23T10:55:58Z,Vivek Arora,vivekaro78@gmail.com,viv983ar,17,Male,masters,Introvert,9.19876E+11,Patna,Bihar,"Music, Dancing, Singing"
2025-09-16T02:19:59Z,Pankaj Mishra,pankajmis76@gmail.com,pan610mi,34,Male,diploma,Ambivert,9.19989E+11,Agra,Uttar Pradesh,"Coding, Gaming, Music"
2025-09-08T06:17:39Z,Raj Bhatia,rajbha66@gmail.com,raj572bh,33,Male,phd,Ambivert,9.1679E+11,Vadodara,Gujarat,"Cooking, Food blogging, Travel"
2025-09-28T15:25:47Z,Arjun Sharma,arjunsha57@gmail.com,arj353sh,27,Male,bachelors,Extrovert,9.19124E+11,Ludhiana,Punjab,"Social work, Volunteering"
2025-09-03T18:47:15Z,Akash Arora,akasharo63@gmail.com,aka219ar,16,Male,diploma,Ambivert,9.19876E+11,Kanpur,Uttar Pradesh,"Sports, Fitness, Yoga"
2025-09-06T07:19:34Z,Jyoti Singhal,jyotisin34@gmail.com,jyo960si,33,Female,masters,Introvert,9.18765E+11,Thane,Maharashtra,"Art, Design, Creative writing"
2025-09-16T08:35:32Z,Usha Thomas,ushatho30@gmail.com,ush915th,23,Female,phd,Ambivert,9.19877E+11,Visakhapatnam,Andhra Pradesh,"Coding, Gaming, Music"
2025-09-16T11:58:50Z,Nidhi Kapoor,nidhikap47@gmail.com,nid329ka,28,Female,intermediate-12th,Introvert,9184562581,Meerut,Uttar Pradesh,"Reading, Writing, Photography"
2025-09-21T00:27:46Z,Usha Gupta,ushagup70@gmail.com,ush915gu,34,Female,diploma,Ambivert,9.19877E+11,Rajkot,Gujarat,"Literature, Poetry, Blogging"
2025-09-12T13:52:05Z,Tarun Arora,tarunaro55@gmail.com,tar280ar,18,Male,diploma,Extrovert,9.19988E+11,Varanasi,Uttar Pradesh,"Coding, Gaming, Music"
2025-09-03T17:24:41Z,Ankit Dubey,ankitdub55@gmail.com,ank891du,33,Male,phd,Introvert,9.19124E+11,Srinagar,Jammu and Kashmir,"Business, Entrepreneurship"
2025-09-02T16:39:32Z,Neeraj Sethi,neerajset51@gmail.com,nee858se,18,Male,intermediate-11th,Extrovert,9.18457E+11,Aurangabad,Maharashtra,"Cooking, Food blogging, Travel"
2025-09-25T03:44:19Z,Nikhil Iyer,nikhiliye23@gmail.com,nik982iy,30,Male,diploma,Introvert,9.18766E+11,Dhanbad,Jharkhand,"Programming, Web development"
2025-09-25T21:57:57Z,Pooja Roy,poojaroy63@gmail.com,poo543ro,20,Female,high-school,Extrovert,9.18878E+11,Amritsar,Punjab,"Music, Dancing, Singing"
