Question_ID,Test_Type,Education_Level,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Category,Weight,Trait_Measured,Scoring_Rule
I_P001,Personality,Intermediate,I actively seek leadership roles in group projects and organizations,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Leadership,1,Extraversion,likert_scale
I_P002,Personality,Intermediate,I prefer working independently on complex tasks rather than collaborating,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Independence,1,Extraversion,likert_reverse
I_P003,Personality,Intermediate,I feel comfortable presenting my ideas to professors and senior colleagues,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Social,1,Extraversion,likert_scale
I_P004,Personality,Intermediate,I enjoy networking events and building professional connections,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Social,1,Extraversion,likert_scale
I_P005,Personality,Intermediate,I maintain detailed schedules and prioritize tasks systematically,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Organization,1,Conscientiousness,likert_scale
I_P006,Personality,Intermediate,I complete assignments well before deadlines to ensure quality,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Discipline,1,Conscientiousness,likert_scale
I_P007,Personality,Intermediate,I often procrastinate on important tasks until the last minute,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Discipline,1,Conscientiousness,likert_reverse
I_P008,Personality,Intermediate,I actively seek out new learning opportunities and skill development,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Growth,1,Openness,likert_scale
I_P009,Personality,Intermediate,I enjoy exploring abstract concepts and theoretical frameworks,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Intellectual,1,Openness,likert_scale
I_P010,Personality,Intermediate,I prefer proven methods over experimenting with new approaches,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Curiosity,1,Openness,likert_reverse
I_P011,Personality,Intermediate,I go out of my way to help teammates succeed even when not required,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Empathy,1,Agreeableness,likert_scale
I_P012,Personality,Intermediate,I can work effectively with people who have different perspectives,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Cooperation,1,Agreeableness,likert_scale
I_P013,Personality,Intermediate,I become frustrated when others don't meet my standards,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Tolerance,1,Agreeableness,likert_reverse
I_P014,Personality,Intermediate,I worry extensively about my academic and career performance,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Anxiety,1,Neuroticism,likert_scale
I_P015,Personality,Intermediate,I maintain composure during high-pressure situations like interviews,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Calm,1,Neuroticism,likert_reverse
I_P016,Personality,Intermediate,My confidence levels fluctuate significantly based on external feedback,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Emotional,1,Neuroticism,likert_scale
I_P017,Personality,Intermediate,I recover quickly from academic setbacks and professional rejections,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Resilience,1,Neuroticism,likert_reverse
I_P018,Personality,Intermediate,I enjoy developing innovative solutions to complex problems,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Creativity,1,Openness,likert_scale
I_P019,Personality,Intermediate,I thoroughly research topics before forming opinions or making decisions,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Critical_Thinking,1,Conscientiousness,likert_scale
I_S001,Skills,Intermediate,Which software is primarily used for data analysis and visualization?,Microsoft Word,Excel/Google Sheets,PowerPoint,Notepad,Paint,B,Technology,1,Technical Skills,correct_answer
I_S002,Skills,Intermediate,What does API stand for in software development?,Application Program Interface,Advanced Programming Interface,Application Programming Interface,Automated Program Interface,Advanced Program Integration,C,Technology,1,Technical Knowledge,correct_answer
I_S003,Skills,Intermediate,Which project management methodology emphasizes iterative development?,Waterfall,Agile,Traditional,Linear,Sequential,B,Management,1,Project Management,correct_answer
